Lift and Drag Coefficient Data for NACA 0012 Airfoil Section,,,,,,,,,,,,,,,,,,,
"R.E. Sheldahl and P. C. Klimas, ""Aerodynamic characteristics of seven symmetrical airfoil sections through 180-degree angle of attack for use in the aerodynamic analysis of vertical axis wind turbines"", Sandia National Laboratories Report, SAND80-2114, 1981",,,,,,,,,,,,,,,,,,,
*data are in 1deg angle of attack increments starting from 0 deg,,,,,,,,,,,,,,,,,,,
"*Rec = 1e4, 2e4, 4e4, 8e4, 1.6e5, 3.6e5, 7e5, 1e6, 2e6, 5e6",,,,,,,,,,,,,,,,,,,
*2 columns per Rec: first column is CL and second column is CD,,,,,,,,,,,,,,,,,,,
0,0.0337,0,0.0245,0,0.0175,0,0.0133,0,0.0103,0,0.0079,0,0.0067,0,0.0065,0,0.0064,0,0.0064
0.083,0.0338,0.1057,0.0247,0.11,0.0177,0.11,0.0134,0.11,0.0104,0.11,0.008,0.11,0.0068,0.11,0.0066,0.11,0.0064,0.11,0.0064
0.1534,0.0343,0.2072,0.0251,0.22,0.0181,0.22,0.0138,0.22,0.0108,0.22,0.0084,0.22,0.007,0.22,0.0068,0.22,0.0066,0.22,0.0066
0.2009,0.0351,0.3032,0.0259,0.3376,0.0189,0.33,0.0145,0.33,0.0114,0.33,0.0089,0.33,0.0075,0.33,0.0071,0.33,0.0069,0.33,0.0068
0.2003,0.0359,0.3929,0.027,0.4464,0.0199,0.44,0.0155,0.44,0.0124,0.44,0.0098,0.44,0.0083,0.44,0.0078,0.44,0.0073,0.44,0.0072
0.0328,0.0351,0.4781,0.0282,0.5276,0.0218,0.55,0.017,0.55,0.014,0.55,0.0113,0.55,0.0097,0.55,0.0091,0.55,0.0081,0.55,0.0076
-0.1413,0.046,-0.0298,0.046,0.6115,0.0232,0.6384,0.0189,0.66,0.0152,0.66,0.0125,0.66,0.0108,0.66,0.0101,0.66,0.009,0.66,0.0081
-0.1142,0.058,-0.1089,0.058,-0.0212,0.058,0.7227,0.0204,0.746,0.017,0.77,0.0135,0.77,0.0118,0.77,0.011,0.77,0.0097,0.77,0.0086
-0.0703,0.072,-0.0699,0.072,-0.01615,0.072,0.693,0.0222,0.8274,0.0185,0.8542,0.0153,0.88,0.0128,0.88,0.0119,0.88,0.0105,0.88,0.0092
-0.0215,0.086,-0.0198,0.086,-0.016,0.086,-0.001,0.06,0.8527,0.0203,0.9352,0.0167,0.9598,0.0144,0.9661,0.0134,0.99,0.0113,0.99,0.0098
0.0311,0.101,0.032,0.101,0.0344,0.101,0.0413,0.06,0.1325,0.0188,0.9811,0.0184,1.0343,0.0159,1.0512,0.0147,1.0727,0.0128,1.1,0.0106
0.0848,0.117,0.0856,0.117,0.0869,0.117,0.0911,0.117,0.1095,0.076,0.9132,0.0204,1.0749,0.0175,1.1097,0.0162,1.1539,0.014,1.1842,0.0118
0.1387,0.134,0.1894,0.134,0.1406,0.134,0.143,0.134,0.1533,0.134,0.4832,0.0217,1.039,0.0195,1.1212,0.018,1.2072,0.0155,1.2673,0.013
0.1928,0.152,0.1934,0.152,0.1945,0.152,0.1966,0.152,0.203,0.152,0.2759,0.0222,0.8737,0.0216,1.0487,0.02,1.2169,0.0172,1.3242,0.0143
0.2468,0.171,0.2474,0.171,0.2484,0.171,0.2504,0.171,0.2546,0.171,0.2893,0.106,0.6284,0.0236,0.8846,0.0222,1.1614,0.0191,1.3423,0.0159
0.3008,0.19,0.3014,0.191,0.3024,0.19,0.3043,0.19,0.3082,0.19,0.3306,0.19,0.4907,0.117,0.7108,0.0245,1.0478,0.0213,1.3093,0.0177
0.3548,0.21,0.3554,0.21,0.3563,0.21,0.3582,0.21,0.362,0.21,0.3792,0.21,0.4696,0.21,0.606,0.128,0.9221,0.0237,1.2195,0.0198
0.4079,0.231,0.4089,0.23,0.4107,0.231,0.4139,0.231,0.42,0.231,0.4455,0.231,0.5195,0.23,0.5906,0.231,0.7826,0.138,1.0365,0.0229
0.4606,0.252,0.462,0.252,0.4644,0.252,0.4689,0.252,0.4768,0.252,0.5047,0.252,0.5584,0.252,0.603,0.252,0.7163,0.252,0.9054,0.148
0.5121,0.274,0.5147,0.274,0.5178,0.274,0.5232,0.274,0.5322,0.274,0.5591,0.274,0.6032,0.274,0.6334,0.274,0.7091,0.274,0.8412,0.274
0.5838,0.297,0.5663,0.297,0.5708,0.297,0.577,0.297,0.587,0.297,0.612,0.297,0.6474,0.297,0.6716,0.297,0.7269,0.297,0.8233,0.297
0.6161,0.32,0.6184,0.32,0.6232,0.32,0.6305,0.32,0.6414,0.32,0.6643,0.32,0.6949,0.32,0.7162,0.32,0.7595,0.32,0.8327,0.32
0.6687,0.344,0.6709,0.344,0.6755,0.344,0.6839,0.344,0.6956,0.344,0.7179,0.344,0.7446,0.344,0.7613,0.344,0.7981,0.344,0.8563,0.344
0.7216,0.369,0.7238,0.369,0.7283,0.369,0.7373,0.369,0.7497,0.369,0.7715,0.369,0.7948,0.369,0.8097,0.369,0.8429,0.369,0.8903,0.369
0.7744,0.394,0.7765,0.394,0.7808,0.394,0.7902,0.394,0.8034,0.394,0.8246,0.394,0.8462,0.394,0.8589,0.394,0.8882,0.394,0.9295,0.394
0.8276,0.42,0.8297,0.42,0.834,0.42,0.8432,0.42,0.8572,0.42,0.878,0.42,0.8984,0.42,0.9093,0.42,0.9352,0.42,0.9718,0.42
